variant,mean_truth_reward,mean_deviation_reward,mean_advantage,std_advantage,ci_low,ci_high,t_stat,p_value,repeats,trials_per_repeat
baseline,1.0018003330893557,1.0459163643600866,0.04411603127073091,0.009177090322388991,0.02395946791062392,0.0607649850227205,67.98395520738639,1.0626623428267752e-139,200,20000
sanction,1.0018003330893557,1.0023705002252654,0.00057016713590969,0.00796251296160267,-0.014235154218315043,0.014378239032141854,1.012667860399451,0.3124485108204622,200,20000
sanction_safety,0.8423782330522659,0.8431584382859357,0.0007802052336698278,0.008850220271797537,-0.017103384974576672,0.017478884537410262,1.2467224419333434,0.213964736158356,200,20000
